,Unnamed: 0,lemme,freqlemfilms2,nb_lettres,anagramme,def_1,def_2,def_3,def_4,def_5,def_6,def_7,def_8,def_9,def_10,def_11,def_12,def_13,def_14,def_15,def_16,def_17,def_18,def_19,def_20,def_21,def_22,def_23,def_24,def_25,def_26,def_27,def_28,def_29,def_30,def_31,def_32,def_33,def_34,def_35,def_36,def_37,def_38,def_39
5463,5464,essential,0.14,9,esetslani,Essentiel.,(Au pluriel) Essentiel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5464,5465,flamenco,0.14,8,lnmcoaef,(Musique) (Danse) Genre musical à base de chant et type de danse populaires andalous.,Flamenco.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5465,5466,fleurdelisé,0.14,11,efdsrlileéu,(Québec) Le drapeau québécois.,"(Vexillologie) Drapeau, étendard, etc. qui est orné de fleur de lis ou qui présente un semé de fleurs de lis.",(Héraldique) Se dit d’une pièce ou d’un meuble présentant aux extrémités ou sur son pourtour extérieur des excroissances en forme de fleur de lys. La forme fleurdelysé est d’emploi plus fréquent en héraldique. Voir contre-fleurdelysé quand les fleurs de lys sont présentées alternativement debout et renversées. Certains auteurs considèrent fleurdelisé comme une restriction de fleuronné qui qualifie tous types de fleurs utilisées comme ornement.,Participe passé masculin singulier de fleurdeliser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5466,5467,fliqué,0.14,6,qéiulf,Participe passé masculin singulier du verbe fliquer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5467,5468,fossile,0.14,7,sileosf,(Géologie) Qui se tire de la terre.,(En particulier) Pétrifié ; fossilisé.,Reste très ancien d’organisme pétrifié dans une roche sédimentaire.,"(Ironique) Quelqu’un de très arriéré, ou très vieux.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5468,5469,fouetteur,0.14,9,treeoutfu,Celui qui fouette.,(Pêche à la mouche) Pêcheur à la mouche.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,5470,fourrager,0.14,9,orrrguaef,Qui produit du fourrage.,Qui est de la nature du fourrage ; qui en a les qualités.,Relatif au fourrage.,(Vieilli) (Militaire) Couper et amasser du fourrage.,"(Figuré) (Familier) Fouiller avec des gestes dans tous les sens, en mettant du désordre ou en donnant l'impression de le faire.","(Figuré) (Familier) Compiler, plagier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5470,5471,froncé,0.14,6,oéncfr,Participe passé masculin singulier du verbe froncer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,5472,fuselé,0.14,6,lseéuf,Participe passé masculin singulier du verbe fuseler.,Qui est en forme de fuseau.,(En particulier) (Architecture) Qualifie une colonne dont le fût est un peu renflé vers le tiers de sa hauteur.,(En particulier) (Anatomie) Qualifie un doigt très mince par son extrémité.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5472,5473,garibaldien,0.14,11,bdgaiiearln,Relatif à Giuseppe Garibaldi.,Partisan de Garibaldi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5473,5474,gazouillant,0.14,11,nzllaaguoit,Qui gazouille.,Participe présent de gazouiller.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,5475,goulu,0.14,5,oulgu,"Qui aime à manger, qui mange avec avidité.",(Par extension) Gourmand à l’excès.,Personne vorace.,Animal sauvage de Laponie et de Moscovie.,Nom vulgaire de l'anguille.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5475,5476,granitique,0.14,10,qagetnriiu,Qui est de la nature du granit.,(Par extension)  Définition manquante ou à compléter. (Ajouter)… ,(Figuré)  Définition manquante ou à compléter. (Ajouter)…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5476,5477,griffé,0.14,6,féirfg,Participe passé masculin singulier de griffer.,Qui souligne la griffe ou la marque d'un objet.,Qui porte la griffe d'une marque commerciale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5477,5478,grillagé,0.14,8,réaigllg,Pourvu d'une grille. ,Participe passé masculin singulier du verbe grillager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5478,5479,grouillant,0.14,10,olniutglra,(Familier) Qui grouille.,(Par extension) Où grouille une foule de choses ou de gens.,Participe présent de grouiller.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5479,5480,gueulard,0.14,8,lguderau,(Équitation) Cheval qui tient la bouche ouverte pour ne pas recevoir le mors.,(Populaire) Qui donne souvent et facilement de la voix.,(Populaire) Personne qui pousse la gourmandise à l’excès.,(Populaire) Personne qui gueule.,"(Marine) Porte-voix dont le tube était extensible à volonté, et qui servait à communiquer d'un bateau à un autre.",(Métallurgie) Ouverture d’un haut fourneau par laquelle on entonne le charbon et le minerai.,(Voirie) Bouche d’un égout.,"(Boulangerie) Four à bois, pièce en métal par laquelle passe la flamme de chauffe.",(Arts) Buire en forme de casque renversé.,Arme à feu à canon évasé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5480,5481,hilare,0.14,6,hirale,"Qui est gai, riant.","Personne gaie, riante.",Nominatif neutre singulier de hĭlăris.,Vocatif neutre singulier de hĭlăris.,Accusatif neutre singulier de hĭlăris.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5481,5482,hurleur,0.14,7,euuhrrl,"Qui hurle, qui a l’habitude de pousser des cris.",Personne qui hurle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5482,5483,hydrographe,0.14,11,oyarhperhgd,Personne qui est versé dans l’hydrographie. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5483,5484,hydropique,0.14,10,dyrohiuepq,(Médecine) Qui est atteint d’hydropisie.,(Médecine) Personne malade de l'hydropisie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5484,5485,hypoglycémique,0.14,14,uolmpiqgcyhyée,(Médecine) Qui concerne un taux de glucose dans le sang trop faible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5485,5486,hémostatique,0.14,12,thmaqésuotie,(Médecine) Qui a la propriété d’arrêter les hémorragies.,(Médecine) Chose qui a la propriété d’arrêter les hémorragies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5486,5487,hétérogène,0.14,10,éeogènéhrt,(Didactique) Qui est composé d'éléments de différentes natures.,Qualifie une distribution répartie de façon inégale.,(Chimie) Qualifie un mélange dans lequel on peut distinguer au moins deux constituants à l’œil nu.,(La structure du bois) Qualifie un bois dont les veines de printemps sont très différenciées de celles d'été et bien visibles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5487,5488,iliaque,0.14,7,qiuleia,(Anatomie) Qui a rapport aux hanches.,(Médecine) Qui a rapport à l’iléus.,(Histoire) Qui se rapporte à Ilion appelée aussi Troie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5488,5489,imbaisable,0.14,10,eaabblimsi,Qui ne peut pas être baisé.,"(Plus rare) Incompréhensible, abscons.",(Vulgaire) (Péjoratif) Qualifie une femme que l'on ne voudrait pas baiser.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5489,5490,incolore,0.14,8,leinrcoo,(Didactique) Qui n’est pas coloré.,(Figuré) Sans éclat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5490,5491,incréé,0.14,6,énrcié,(Didactique) (Religion) Qui existe sans avoir été créé.,"(Littéraire) Qui n’a pas été formulé, qui n’existe pas.","(Didactique) Être, ou chose, qui n’est pas créé.",Participe passé masculin singulier de incréer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5491,5492,indissoluble,0.14,12,uisdllsneibo,Qui ne peut être dissous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5492,5493,indéchiffrable,0.14,14,bnlcarféfdieih,Qui ne peut se déchiffrer.,(Par extension) Qui est difficile à lire.,"(Figuré) Qui est obscur, embrouillé, qu’on ne peut expliquer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5493,5494,indémodable,0.14,11,diélbamendo,"Qui ne se démode pas, qui résiste au temps.","Produit qui ne se démode pas, qui résiste au temps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5494,5495,inflationniste,0.14,14,tinoalnnsefiti,Relatif à l'inflation,Provoquant l'inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5495,5496,injecté,0.14,7,ténciej,(Figuré) Qui est coloré par l’afflux du sang.,(Spécialement) Qualifie les yeux où l’engorgement du sang fait paraître de petites veines rouges.,Participe passé masculin singulier du verbe injecter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5496,5497,inracontable,0.14,12,aaitbnercnol,Qu’il est impossible d’exprimer.,"Que l’on ne doit dire, raconter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5497,5498,insolvable,0.14,10,valoneblsi,Qui n’a pas de quoi payer ce qu’il doit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5498,5499,insubordonné,0.14,12,nréouonbisdn,"Qui a l’esprit d’insubordination, qui manque fréquemment à la subordination.",Participe passé masculin singulier du verbe insubordonner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,5500,interglaciaire,0.14,14,lrerainaieigtc,(Géologie) Qui occupe l’intervalle entre deux périodes glaciaires.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,5501,intracrânien,0.14,12,etnirncirnaâ,(Anatomie) Relatif à l'intérieur du crâne.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5501,5502,investigateur,0.14,13,eiirtnevugsat,"Qui fait des recherches suivies sur quelque objet, qui examine attentivement et systématiquement.",Celui qui fait des recherches suivies sur quelque objet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5502,5503,iodé,0.14,4,édoi,(Chimie) Qui contient de l’iode.,Participe passé masculin singulier du verbe ioder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,5504,italique,0.14,8,ieialuqt,Qui appartient à l’Italie ancienne.,(Spécialement) Qui appartient à un groupe de langues parlées dans l'Italie antique.,"(Typographie) Pour un caractère, écrit d’une façon un peu inclinée vers la droite, comme l’écriture. Il s’emploie aussi comme nom masculin (→ voir  italique).","(Typographie) Variante d’un caractère d’une famille, un peu incliné vers la droite, comme l’écriture, par opposition au romain, caractère droit et rond.",Première personne du singulier de l’indicatif présent de italiquer.,Troisième personne du singulier de l’indicatif présent de italiquer.,Première personne du singulier du subjonctif présent de italiquer.,Troisième personne du singulier du subjonctif présent de italiquer.,Deuxième personne du singulier de l’impératif présent de italiquer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5504,5505,jazzy,0.14,5,zyajz,"(Musique) Proche du jazz, qui évoque le jazz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505,5506,lige,0.14,4,lgie,(Histoire) (Féodalité) Qualifiait un vassal tenant une certaine sorte de fief qui le liait d’une obligation exclusive envers son seigneur dominant.,(Par extension) Qualifiait ce lien de vassalité.,Mentir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506,5507,lombard,0.14,7,boramdl,Qui a un rapport avec la Lombardie.,"(En particulier) (Moyen Âge) Relatif aux commerçants et banquiers de Lombardie, au Moyen Âge.",(Linguistique) Langue parlée en Lombardie.,"(Linguistique) Langue morte germanique qui fut parlée par les Lombards, qui s’établirent en Italie au VIe siècle.","(Moyen Âge) Banquier ou usurier chrétien du Moyen Âge, souvent originaire de Lombardie.","(Finance) Établissement autorisé à prêter de l’argent sur gage, mont-de-piété.",(Finance) Lombard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5507,5508,lourdingue,0.14,10,reiuuglodn,"(Populaire) Lourd, dépourvu de finesse, de subtilité.",(Populaire) Personnage lourd et dépourvu de finesse ou de subtilité.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5508,5509,léniniste,0.14,9,ietsnéiln,(Politique) (Socialisme) Relatif au léninisme.,(Politique) Partisan du léninisme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5509,5510,macoute,0.14,7,umoecta,Sorte de sac en paille tressée.,(Haïti) Qualifie les membres de la police parallèle du président Duvalier en Haïti.,"Relatif à cette police parallèle, duvaliériste.",(Québec) Qualifie les inspecteurs des services sociaux.,"Tonton macoute, membre de la police parallèle du Président Duvallier en Haïti.","Milicien, membre d’une milice parallèle inféodée à un pouvoir autoritaire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5510,5511,magdalénien,0.14,11,ialgaenéndm,"Relatif à La Madeleine-sur-Loing, commune de la Seine-et-Marne.",Relatif à la dernière phase du Paléolithique supérieur européen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5511,5512,maghrébin,0.14,9,agmbnrhéi,(Géographie) Relatif au Maghreb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5512,5513,malhabile,0.14,9,iellmbaha,Qui manque d’habileté.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513,5514,manipulable,0.14,11,melupalbani,Qui peut être manipulé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514,5515,maousse,0.14,7,somuesa,(Populaire) Très grand ; vaste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,5516,marmiteux,0.14,9,uxermaitm,"(Familier) Qui est piteux, qui est mal sous le rapport de la fortune, des vêtements ou de la santé, et qui s’en plaint habituellement.",Personne misérable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516,5517,moresque,0.14,8,eeoursmq,"Qui a rapport aux coutumes, aux usages, au goût des mores.",Qui a rapport aux danses à la manière des mores.,Sorte de danse à la manière des mores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5517,5518,morphinomane,0.14,12,heaoonpimmrn,Qui a contracté l’habitude de la morphine.,Celui ou celle qui a contracté l’habitude de la morphine. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5518,5519,multifonctions,0.14,14,olsminonuttcfi,Qui possède plusieurs fonctions.,Pluriel de multifonction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5519,5520,multiracial,0.14,11,imlciuratla,Concernant ou composé de plusieurs races.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5520,5521,multirisque,0.14,11,urmiilqtues,(Économie) Qui couvre plusieurs risques.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,5522,murmurant,0.14,9,trmumurna,Qui murmure.,Participe présent de murmurer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,5523,narcoleptique,0.14,13,aepqlnutrocei,(Médecine) Personne souffrant de narcolepsie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,5524,neurotoxique,0.14,12,xoeiuunrqeto,(Médecine) Qui est toxique pour le système nerveux.,Substance toxique pour le système nerveux.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,5525,nipponne,0.14,8,npeoinnp,Féminin singulier de nippon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,5526,néogothique,0.14,11,negiéuhootq,"(Arts) De style gothique, mais datant du XIXe ou après.",Style architectural né au milieu du 18e siècle en Angleterre et florissant au XIXe siècle dans le cadre du romantisme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526,5527,ocre,0.14,4,eorc,"Argile friable de couleur jaune, rouge ou brune suivant les oxydes, en particulier l’hydroxyde de fer et parfois d’oxyde de manganèse, qu’elle contient.","Couleur, colorant à base d’argile.  #CC7722",Couleur d’un brun tirant sur le jaune ou le rouge.,De la couleur de l’ocre brun de jaune à rouge.  #CC7722,"(Œnologie) Couleur de la robe d’un vin (blanc, rosé ou rouge) indiquant une maturité presque extrême, une oxydation.",Première personne du singulier du présent de l’indicatif de ocrer.,Troisième personne du singulier du présent de l’indicatif de ocrer.,Première personne du singulier du présent du subjonctif de ocrer.,Troisième personne du singulier du présent du subjonctif de ocrer.,Deuxième personne du singulier de l’impératif de ocrer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5527,5528,opposable,0.14,9,ooablsepp,"Qui peut être opposé, mis en face, vis-à-vis.",(En particulier) (Droit) (Justice) Qui peut être invoqué en recours à une décision.,(Spécialement) (Anatomie) Qualifie une partie du corps qui peut être présenté face à une autre.,(Figuré) Qui peut être avancé pour contredire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,5529,oppresseur,0.14,10,essrropupe,Celui qui opprime.,Oppressant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,5530,orientable,0.14,10,rlnabeoeti,"Flexible, que l'on peut orienter.",(Topologie) Qualifie une surface fermée dont on peut définir l’intérieur et l’extérieur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5530,5531,orienteur,0.14,9,ureintroe,"Appareil destiné à former le midi vrai pour chaque jour de l’année. Plus généralement, appareil servant à déterminer l’orientation d’un lieu.",Personne pratiquant la course d’orientation.,"Personne dont le métier est de pratiquer l’orientation scolaire, pédagogique ou professionnelle.",Officier orienteur : (Militaire) Officier qui dirige les mouvements d’une troupe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,5532,orléaniste,0.14,10,nstieroalé,"(Histoire) Relatif au duc d’Orléans, à sa politique.",(Histoire) Partisan du duc d’Orléans et de sa politique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,5533,palliatif,0.14,9,ltifiapla,Qui pallie.,Ce qui pallie quelque chose.,(En particulier) (Médecine) Remède palliatif.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,5534,panaméenne,0.14,10,naepmaénen,Féminin singulier de panaméen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,5535,pantocrator,0.14,11,tnpoocartra,"(Christianisme) Se dit des représentations du Christ en majesté, par opposition à celles du Christ souffrant sur la croix ou de l'enfant Jésus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5535,5536,pensionné,0.14,9,npiénneso,(Belgique) Retraité.,(Belgique) Retraité.,Participe passé masculin singulier du verbe pensionner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5536,5537,piétonnier,0.14,10,neréntipio,"Qui est réservé aux piétons, interdit aux véhicules motorisés.",(Belgique) Rue ou zone piétonnière.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,5538,plantaire,0.14,9,aliarpnte,Qui concerne la plante des pieds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,5539,platonicien,0.14,11,apnilntcoei,"Qui suit la philosophie de Platon, qui a rapport à la philosophie de Platon.",(Géométrie) Qualifie chacun des 5 polyèdres réguliers dont les faces sont des polygones réguliers de même nature.,"Adepte de Platon, de sa philosophie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539,5540,polémique,0.14,9,pmoeliqué,"Qui appartient à la dispute. — Note :  Il se dit des querelles, des disputes par écrit, sur les questions se rapportant à la théologie, à la politique, à la littérature, etc.","Dispute, querelle de plume.",Première personne du singulier du présent de l’indicatif de polémiquer.,Troisième personne du singulier du présent de l’indicatif de polémiquer.,Première personne du singulier du présent du subjonctif de polémiquer.,Troisième personne du singulier du présent du subjonctif de polémiquer.,Deuxième personne du singulier de l’impératif de polémiquer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5540,5541,porté,0.14,5,optré,(Mode vestimentaire) Effet produit par la façon de porter les vêtements.,(Danse) Figure où l’un des danseurs porte son partenaire au-dessus de lui.,Participe passé masculin singulier de porter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,5542,poulinière,0.14,10,uierinplèo,Se dit d’une jument destinée à la reproduction.,(Figuré),Jument destinée à la reproduction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5542,5543,primé,0.14,5,mriép,Participe passé masculin singulier du verbe primer.,Qui a reçu une prime.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,5544,programmateur,0.14,13,truoremarmpag,"Celui qui est chargé de la programmation, qui doit répartir dans le temps des programmes.","Appareil qui doit lancer une action au bon moment, conformément à un programme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5544,5545,prudhommesque,0.14,13,uhmodqrueespm,"(Par dérision) Façons de parler banales et sentencieuses qui s’accompagnent d’airs importants, comme Monsieur Prudhomme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5545,5546,prétentiard,0.14,11,nerdrptétia,Prétentieux.,(Familier) (Péjoratif) Personne prétentieuse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5546,5547,prévalent,0.14,9,rtpnavlée,"Répandu, prédominant.",Dominant.,Troisième personne du pluriel du présent de l’indicatif du verbe prévaloir.,Troisième personne du pluriel du présent du subjonctif du verbe prévaloir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5547,5548,psychomoteur,0.14,12,pehruscyomto,"(Physiologie) Qui, dans l’écorce grise des hémisphères du cerveau, siège des facultés psychiques, détermine des mouvements volontaires.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5548,5549,pubertaire,0.14,10,eprbeurtai,Relatif à la puberté.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5549,5550,pénétrable,0.14,10,pbetrlaéné,"Que l’on peut pénétrer, où l’on peut pénétrer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,5551,pépiant,0.14,7,tiénapp,Participe présent du verbe pépier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5551,5552,quaternaire,0.14,11,nrqeetaiuar,"Qui est composé de quatre, qui est disposé par quatre ; qui est divisible par quatre.",Qui vient en quatrième lieu.,(Géologie) Qualifie l’époque géologique actuelle.,"(Chimie) (En parlant d’un cation) Constitué d’un atome central de pnictogène chargé positivement, entouré de quatre substituants, en particulier des groupes organiques (alkyle, aryle), en ne comptant pas les atomes d’hydrogène.",(Chimie) (En parlant d’un atome de carbone dans une molécule) Relié à quatre autres atomes de carbone.,"(Par extension) Qui ne comporte que quatre éléments ou ne propose que quatre options, précisément, strictement et invariablement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5552,5553,rabattu,0.14,7,uatbrta,Participe passé masculin singulier du verbe rabattre.,Participe passé masculin singulier du verbe rabattre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5553,5554,rachitique,0.14,10,eichrutqai,(Médecine) Qui est affecté de rachitisme.,Qualifie une affection qui tient du rachitisme.,(Par extension) (Familier) Qualifie des plantes avortées ou qui se développent mal.,(Par extension) (Familier) Qui est peu développé.,(Médecine) Malade atteint de rachitisme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5554,5555,recyclable,0.14,10,ebclcerlay,Qui peut être recyclé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5555,5556,replet,0.14,6,rlteep,"Qui a de l’embonpoint, qui est bien en chair, en parlant d’une personne.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5556,5557,rhumatisant,0.14,11,sumiattranh,(Médecine) Affecté de rhumatismes.,"(Médecine) Personne qui est atteinte de rhumatisme, qui est sujette aux rhumatismes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5557,5558,rigoriste,0.14,9,iogeisrrt,"Personne qui pousse trop loin la sévérité de certains principes, et particulièrement de ceux de la morale.","Qui pousse trop loin la sévérité de certains principes, et particulièrement de ceux de la morale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5558,5559,régulateur,0.14,10,léuuargetr,"Qui sert de règle, qui régularise.",(Aéronautique) Agent d'une compagnie aérienne ou d'une société d'assistance chargé de l'affectation et du suivi des aéronefs en fonction des programmes d'exploitation.,"(Services de secours) Personne chargée de répartir les missions des équipes d'intervention en fonction des demandes (appels de particuliers, demandes de renfort d'équipes en intervention…).",Appareil servant à réguler.,"(Économie) Organisation qui le pouvoir de réglementer ou contrôler un secteur comme par exemple la concurrence, la finance, les télécommunications ou l'énergie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559,5560,saumuré,0.14,7,mréauus,Participe passé masculin singulier du verbe saumurer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5560,5561,schizophrénique,0.14,15,cnuziehqhréispo,"(Psychiatrie) Qui appartient, qui a rapport à la schizophrénie.",(Psychiatrie) Personne atteinte de schizophrénie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561,5562,schizoïde,0.14,9,zdïoschei,"Se dit des individus repliés, inhibés, fuyant le contact d’autrui et se réfugiant dans un autisme plus ou moins complet et énigmatique.",Qui se rapporte à la schizoïdie.,"Personne qui présente la structure caractérielle de la schizoïdie, individu replié, inhibé, fuyant le contact d’autrui et se réfugiant dans un autisme plus ou moins complet et énigmatique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,5563,schnock,0.14,7,oncshck,"(Familier) (Vocabulaire injurieux) Imbécile, con.","(Familier) (Péjoratif) Personne sénile, gâteux.",(Familier) (Péjoratif) Individu à la mentalité de personne âgée.,"(Familier) (Péjoratif) Individu, type.","(Familier) (Vocabulaire injurieux) Stupide, con.","(Familier) (Péjoratif) Sénile, gâteux.",(Familier) (Péjoratif) À la mentalité de personne âgée.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563,5564,select,0.14,6,sletec,"Snob, élitiste, qui discrimine ses membres en parlant d’un club ou d’un cercle. Sélect.",Sélectionner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5564,5565,serve,0.14,5,eresv,Féminin singulier de serf.,Femme attachée au domaine qu’elle cultive moyennant redevance au seigneur qui en est le propriétaire.,Première personne du singulier du présent du subjonctif de servir.,Troisième personne du singulier du présent du subjonctif de servir.,Servir.,"Purger, faire (une peine de prison).",Pluriel de serva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5565,5566,souabe,0.14,6,sboeau,Qui appartient à la région de Souabe ou a un rapport avec elle.,Ensemble de dialectes allemands appartenant à la famille alémanique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5566,5567,soûlard,0.14,7,raûosdl,"(Populaire) et (Péjoratif) Personne s'adonnant à la boisson, alcoolique, ivrogne.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5567,5568,strasbourgeois,0.14,14,irtusgaeossbor,"Relatif à Strasbourg ou à ses habitants, les Strasbourgeois.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
